ID,Text,Etiqueta
1,"Yo me encuentro mal, pero no te preocupes, tú sal con tus amigos, yo me quedo aquí solo",Violento
2,"Me hace muchísima ilusión hacer esto contigo, pero si no quieres, déjalo",Violento
3,"¿No te encuentras bien? Pues… Si no acabas este informe, no sé cómo afectará al trabajo de tus compañeros ni cómo se lo tomarán",Violento
4,"Tengo a mi madre enferma, si no me ayudas y pierdo este trabajo no podré pagar el hospital",Violento
5,Nadie te entiende como yo,Violento
6,Nadie te va a querer como yo,Violento
7,En ninguna empresa van a pagarte tanto como aquí,Violento
8,Yo en las relaciones me entrego al 100% y espero lo mismo del otro,Violento
9,"Si eres malo, no te van a traer regalos los Reyes",Violento
10,"Me parece genial que quieras estudiar otra carrera, pero ya verás tú misma cómo la pagas",Violento
11,"Claro que puedes salir con tus amigos, pero recuerda que habías empezado a hacer vida sana",Violento
12,"Si me quieres, deberías saber lo que quiero",Violento
13,Con el tiempo que llevamos deberías saber lo que siento,Violento
14,"Deja que lo haga yo, que tú no sabes hacerlo eres tan torpe, pobre, eso me enternece",Violento
15,"No te preocupes, la culpa es mía que te pedí más de lo que puedes hace",Violento
16,"Solo tú me haces sentir bien, si me dejaras, me moriría el día siguiente",Violento
17,Cada vez que me visitas me haces sentir vivo,Violento
18,Si supieras por lo que estoy pasando yo…,Violento
19,"Eso no es nada, en mi situación no me quiero imaginar cómo te pondrías",Violento
20,"Yo no dije esto, tú estás loco",Violento
21,No pongas palabras que nunca han salido de mi boca,Violento
22,no tergiverses mis palabras,Violento
23,Te dejo ser mi amigo si me regalas ese cómic,Violento
24,Te invito a la fiesta de mi cumpleaños si vas bien vestida,Violento
25,Si fueras un buen novio te dejarías hacer lo que quieras,Violento
26,Con todo lo que he hecho por ti,Violento
27,"No puedes dejarme así, estoy sola",Violento
28,¿no te das cuenta que estoy mal?,Violento
29,"Nunca me hubiera imaginado que irías a actuar así, me estás decepcionando, tú verás lo que haces",Violento
30,Si no haces lo que te pido me voy,Violento
31,Como sigas con esta actitud rompo la relación,Violento
32,Si no me ayuds te voy a pegar,Violento
33,Si me acompañas al concierto te acompaño al médico,Violento
34,Si sigues conmigo te prometo regalarte todo lo que quieras,Violento
35,Si vienes conmigo a ese viaje de empresa te prometo que voy al médico a hacerme las pruebas de fertilidad,Violento
36,Como sigas así enfermaré,Violento
37,Estás terminando con mi vida,Violento
38,No sé porque disfrutas haciéndome daño,Violento
39,Con todo lo que te quiero y eliges ir con tu madre de vacaciones,Violento
40,"No sabes el daño que me estáis haciendo, siento que no me quieres",Violento
41,Dile que quieres quedarte más días conmigo y así podemos ir a la playa,Violento
42,"Ya no eres la que eras, has cambiado, ya no eres la misma",Violento
43,Ya veo lo que valoras esta relación,Violento
44,Como sigas así rompemos,Violento
45,"Si me dejas, haré una locura",Violento
46,"He hecho todo esto para hacerte feliz, ¿por qué tú no puedes hacer algo tan simple por mí?",Violento
47,Nunca me hubiera imaginado que te comportaras así conmigo,Violento
48,Si me quisieras tanto como dices sabrías lo que necesito,Violento
49,"Si no haces lo que te he pedido, quién sabe lo que me pasará",Violento
50,Como no lo hagas ya sabes que pasara,Violento
51,"Si haces esto, te regalare un lindo gato",Violento
52,No puedes hablar en serio sobre nosotros,Violento
53,"Te crees que eres una buena persona, pero después eres incapaz de hacer algo cuando te lo pido",Violento
54,Eres tan sensible con…,Violento
55,"¿Te acuerdas cuando te invité a cenar? Bueno, pues ahora invítame tú",Violento
56,"Ya te lo dije, pero no te acuerdas",Violento
57,Te estresas y no piensas con claridad,Violento
58,No creo que debas salir más con esta persona,Violento
59,Solo estoy pensando en nuestro futuro,Violento
60,"Si de verdad me quisieras, lo harías",Violento
61,"Si sales con tus amigos esta noche, no estaré aquí cuando regreses",Violento
62,"Si no puedes quedarte conmigo esta noche que te necesito, tal vez alguien más lo haga…",Violento
63,si no comes luego no verás los dibujos,Violento
64,Pues si no me lo compras ya no te quiero,Violento
65,Si vamos al parque luego me portaré bien en casa,Violento
66,"Yo, que te di la vida, que me he sacrificado por ti, que no he querido que te faltara nunca de nada y me lo agradeces así",Violento
67,"Nunca imaginé que tu, ¡tu!, me harías algo así",Violento
68,"Bueno, pues ve a la tuya, ya vere que hago sin ti",Violento
69,Ya vemos que está antes otra gente que yo,Violento
70,"Bueno, vete, si me pasa algo pues… no sé",Violento
71,Si me quisieras no saldrías esta noche con tus amigos,Violento
72,Con todo lo que yo hago por ti y tú eres incapaz de hacer lo que te estoy pidiendo,Violento
73,Me encuentro un poco mareado pero no te preocupes que ya me levanto y hago yo la cena,Violento
74,Si me dejas podría llegar a hacer una tontería,Violento
75,Nadie más te va a entender como yo,Violento
76,Solo yo te puedo amar,Violento
77,Si me conoces deberías saberlo,Violento
78,Después de tanto tiempo sigues sin entenderme,Violento
79,"No quiero que salgas con tus amigos, quédate conmigo",Violento
80,"Había preparado una cena especial para esta noche, pero no te preocupes, sal con tus amistades",Violento
81,Sin ti no me veo capaz de salir adelante,Violento
82,Solo tú me haces sentir bien,Violento
83,"Si no haces esto, ya sabes que va a pasar",Violento
84,me provocas y por eso soy agresivo,Violento
85,"no me das lo que necesito, por eso, te he sido infiel",Violento
86,"sin ti, no puedo vivir",Violento
87,"si me abandonas, yo no soy nadie",Violento
88,"si sales con tus amigas, yo me quedaré solo y aburrido",Violento
89,Parece que ya no me amas,Violento
90,"Al final, tendré que quedarme en casa por tu culpa",Violento
91,¿Por qué no me has respondido?,Violento
92,¿Sabes dónde está? Le he estado escribiendo toda la tarde y no me responde,Violento
93,Envíamela fotito. No te cuesta nada,Violento
94,Parece que ya no me amas,Violento
95,"Calladita, eres más linda",Violento
96,"Con ese humor, nadie te va a aguantar",Violento
97,"Si no estás conmigo, no estás con nadie",Violento
98,"Eres mía, de nadie más. Si no estás conmigo, no estás con nadie",Violento
99,Sos más linda cuando sonreís,Violento
100,"Callate, a nadie le interesa lo que tenés para decir",Violento
101,Nadie te va a creer,Violento
102,Acá se hace lo que digo yo,Violento
103,Yo te voy a cuidar,Violento
104,"Con ese carácter, nadie te va a aguantar",Violento
105,"Estás loca, eso no pasó, lo estás inventando",Violento
106,Las mujeres dicen 'no' cuando en realidad quieren decir 'sí,Violento
107,Mirá cómo me ponés,Violento
108,Tu te lo buscaste,Violento
109,Se lo buscó por andar vestida así,Violento
110,¿Qué te pusiste?,Violento
111,¿Por qué no contestabas el celular?,Violento
112,Una mujer debe inspirar respeto,Violento
113,Ella estaba borracha,Violento
114,No voy a permitir que estés con otra persona,Violento
115,"Si me dejás, me mato",Violento
116,"Si lo cuentas, te mato",Violento
117,"Si volvés a hablar a tu amigo, vas a ver lo que pasa",Violento
118,No sabía si andar contigo por gorda,Violento
119,"Me creas ansiedad, en serio",Violento
120,Tendrás que quitarme la culpa tú a mí,Violento
121,O eres muy impoluta o una solemne estupida,Violento
122,Eres una cobarde,Violento
123,Tengo una paciencia infinita contigo,Violento
124,"Algún día me iré, me echarás de menos, vendrás en mi busca y no estaré",Violento
125,Eres un montón de carne con ojos,Violento
126,"Estás loca, no sabes lo que has visto",Violento
127,¿Quién es ese niñito? ¿Es tu novio?,Violento
128,Dónde vas tan maquillada,Violento
129,Vaya cara llevas hoy,Violento
130,Compórtate,Violento
131,Eso no es de señoritas,Violento
132,Con esa carita mona de niña no puedes escribir novela negra. No te van a tomar en serio,Violento
133,Eres demasiado lista,Violento
134,hablas demasiado,Violento
135,eres demasiado libre,Violento
136,Me molesta tu sensibilidad,Violento
137,Me gusta esa falda pero no te la pongas cuando no estoy yo,Violento
138,Te llamo para recordarte que mañana trabajas y sigues por ahí. Sin mi,Violento
139,Yo planchando y tú mirando,Violento
140,Con esa camiseta no sales,Violento
141,Solo tienes amigas putas,Violento
142,No me puedes dejar así,Violento
143,¿Cuantas vergas ha comido esa para llegar ahí?,Violento
144,Tienes suerte de que esté contigo,Violento
145,"Si realmente me eres fiel y quieres que confíe en ti, dame tus contraseñas del Tuent",Violento
146,Me has destrozado la vida,Violento
147,Eres una puta cruel,Violento
148,Voy a quedarme solo,Violento
149,Voy a arrastrar esto toda mi vida,Violento
150,"No me escuchas, no tienes empatia",Violento
151,Lo nuestro no se ha acabado. Si lo cerramos aquí siempre tendremos la duda,Violento
152,Te necesito,Violento
153,Tus amigas no te quieren; yo te quiero,Violento
154,¿Te vas a poner eso?,Violento
155,Conmigo no te arreglas tanto,Violento
156,Tú no vas a clase,Violento
157,"Claro, con faldita lo arreglas todo",Violento
158,Te maquillas mucho,Violento
159,Te maquillas poco,Violento
160,"Yo no te mentí, solo no te dije la verdad. Sobrereaccionas",Violento
161,Una niñata como tú no va a saber más que yo.,Violento
162,"Por cosas como esas, las mujeres no deberían jugar al baloncesto",Violento
163,"Ingeniería? Sabes que eso es una carrera de chicos, ¿verdad?",Violento
164,"Ves? Con ese vestido pareces mas femenina, no como con tus sudaderas",Violento
165,"Cómo la van a violar, con lo fea que es",Violento
166,Sacas lo peor de mí,Violento
167,Si me vuelves a contestar sales en las noticias,Violento
168,"Cuídalo mucho, que no vas a encontrar otro que te aguante",Violento
169,No me des la mano en la calle que con ese pelo pensarán que me ligué un tío,Violento
170,"Eres madre, para un poco",Violento
171,Este trabajo no lo vas a poder hacer ahora que has sido mamá,Violento
172,¿Qué vas a hacer ahora con el curro si vas a tener un hijo?,Violento
173,"El niño necesita a su madre, quédate en casa",Violento
174,Con ese carácter ningún hombre te va a querer,Violento
175,"Como salgas por esa puerta, te dejo",Violento
176,Es que no debiste ir sola por la calle,Violento
177,Quieres provocarme hablando con X sabiendo que es tu ex,Violento
178,"Ella es mía, no te acerques",Violento
179,Qué pasa que te gusta que te miren no??,Violento
180,Te tendrías que maquillar y arreglar más,Violento
181,"Ella sí que es una mujer de su casa, que sabe cocinar",Violento
182,Estás loca,Violento
183,lo tuyo es de psiquiatra,Violento
184,no te va a creer nadie,Violento
185,"No, quédate conmigo por favor, te necesito",Violento
186,Sin ti no estoy bien,Violento
187,Sabes que nadie te va a querer como yo,Violento
188,"Sin mí estarías sola, que harías si no estuviese",Violento
189,Ahora que te has casado... vienes más relajadita al trabajo?,Violento
190,"Cállate, para qué hablas si no tienes ni pura idea de nada",Violento
191,Y piensas salir a la calle vestida así?,Violento
192,Buff !!!que sensible estás hoy...te ha venido la regla?,Violento
193,Que suerte tienes tu marido saca a la niña al parque,Violento
194,Nadie te quiere,Violento
195,Desgraciada vete a tu puta ciudad,Violento
196,desearme lo peor el resto de mi vida por no aceptar un no,Violento
197,no te pongas falda o no quedo contigo,Violento
198,a ti te han salido rana tus parejas yo por lo menos tengo dos hijs,Violento
199,Tú no eres como las otras chicas,Violento
200,Estás loca,Violento
201,Eres inútil,Violento
202,"No lleves esa ropa, vas provocando",Violento
203,Pareces una puta vestida así,Violento
204,¿Con quién hablas?,Violento
205,Déjame ver tu telefono,Violento
206,"No me dejes, que hago una locura",Violento
207,"No lo volveré a hacer, cambiaré, te lo prometo, jamás volverá a ocurrir",Violento
208,"oye, a ti tu novio te pega?",Violento
209,¿Es celoso tu novio o puedo entrarte?,Violento
210,Nunca podrás darme lo que me da mi ex,Violento
211,Este deporte no es para mujeres como tú,Violento
212,¿Qué opina tu pareja de esto?,Violento
213,Esta casa de mujeres lo que necesita es un hombre,Violento
214,Tú no puedes ir sola,Violento
215,Para que te tomen en serio mejor que a la reunión vayas con él,Violento
216,Eres un fraude,Violento
217,Tú sigue así que acabarás sola y amargada y te lo mereces,Violento
218,"Sé un poco más dócil, que los tíos se asustan",Violento
219,"No quiero tener una relación seria contigo porque las mujeres, cuando pasan unos años, os volvéis locas y lo queréis dejar",Violento
220,¿Dónde has visto tu que un hombre se levante a recoger la mesa,Violento
221,Fregar es cosa de mujeres,Violento
222,tú cállate bonita que no tienes ni puta idea,Violento
223,Si estás deprimida es tu puto problema,Violento
224,asqueroso negro,Violento
225,Me das asco,Violento
226,Te vas a quedar sola,Violento
227,Qué poco femenina,Violento
228,Has llegado donde estás por tu cuerpo,Violento
229,"si no eres para mí, no eres para nadie ",Violento
230,No te enteras de nada,Violento
231,Otra vez no lo entiendes,Violento
232,Tú de esto no sabes,Violento
233,Me estás sacando de mis casillas,Violento
234,Quieres que me enfade,Violento
235,Me estás provocando,Violento
236,Tú sigue así,Violento
237,Me importa una mierda que me oigan los niños,Violento
238,Es tu culpa,Violento
239,Me vas a encontrar,Violento
240,Eres una histérica,Violento
241,"Es que si ha llegado a ese punto, la culpa es de ella",Violento
242,"Píntate un poco, que estás muy pálida",Violento
243,No te pintes tanto,Violento
244,¿Por qué no te arreglas un poco?,Violento
245,Si te separas de mi tampoco estarás con tus hijos,Violento
246,us amigas no pueden entrar en casa porque también es mìa,Violento
247,Para ser chica no juegas mal,Violento
248,Has estado saliendo con mis amigos,Violento
249,Últimamente no te arreglas nada,Violento
250,Te indignas por todo,Violento
251,No se te puede decir nada,Violento
252,No quiero que subas esas fotos,Violento
253,"Eres demasiado simpática, yo cononzco a oos hombres y se lo q buscan de tí, sé más seria y distante",Violento
254,tu no sabes decir que no y acaban haciendo contigo lo que quieren,Violento
255,Tú sin mí no eres nadie,Violento
256,Si me dejas te mato,Violento
257,O eres mía o no serás de nadie,Violento
258,"Tú en casa con los niños, que es donde debes de estar",Violento
259,Yo te he convertido en una señora,Violento
260,"Para qué tienes la cabeza, a parte de para peinarte",Violento
261,menuda mierda de respuesta,Violento
262,"es que yo para estar así, paso de ti",Violento
263,es que no haces nada por estar bien,Violento
